"","id","Friend_Friend","Friend_Creativity","Friend_Influence","Friend_Implementation","Average","Z.score","bin"
"5",5,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"11",11,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"42",42,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"43",43,1,1,1,0.5,0.833333333333333,1.86809460073827,"(0.8,1]"
"56",56,1,0.912870929175277,0.730296743340221,0.730296743340221,0.79115480528524,1.70432597546292,"(0.6,0.8]"
"27",27,1,0.730296743340221,0.612372435695795,0.912870929175277,0.751846702737098,1.55170249108832,"(0.6,0.8]"
"36",36,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1.22096981610609,"(0.6,0.8]"
"25",25,1,0.5,0.666666666666667,0.547722557505166,0.571463074723944,0.851318192513217,"(0.4,0.6]"
"22",22,1,0.833333333333333,0.5,0.333333333333333,0.555555555555556,0.789553293017962,"(0.4,0.6]"
"35",35,1,0.333333333333333,0.666666666666667,0.666666666666667,0.555555555555556,0.789553293017962,"(0.4,0.6]"
"17",17,1,0.547722557505166,0.612372435695795,0.408248290463863,0.522781094554941,0.662298296919211,"(0.4,0.6]"
"19",19,1,0.204124145231932,0.730296743340221,0.612372435695795,0.515597774755983,0.634407271252139,"(0.4,0.6]"
"48",48,1,0.666666666666667,0.166666666666667,0.666666666666667,0.5,0.5738450314739,"(0.4,0.6]"
"50",50,1,0.666666666666667,0.333333333333333,0.5,0.5,0.5738450314739,"(0.4,0.6]"
"55",55,1,0.365148371670111,0.730296743340221,0.365148371670111,0.486864495560148,0.522843168583852,"(0.4,0.6]"
"10",10,1,0.223606797749979,0.730296743340221,0.447213595499958,0.467039045530053,0.445865928098084,"(0.4,0.6]"
"12",12,1,0.182574185835055,0.182574185835055,1,0.45504945722337,0.399313369593341,"(0.4,0.6]"
"21",21,1,0.365148371670111,0.5,0.5,0.45504945722337,0.399313369593341,"(0.4,0.6]"
"37",37,1,0.166666666666667,0.833333333333333,0.333333333333333,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"51",51,1,0.5,0.666666666666667,0.166666666666667,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"54",54,1,0.666666666666667,0.666666666666667,0,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"39",39,1,0.471404520791032,0.471404520791032,0.365148371670111,0.435985804417391,0.32529399629511,"(0.4,0.6]"
"47",47,1,0.5,0.333333333333333,0.365148371670111,0.399493901667815,0.183605108049279,"(0.2,0.4]"
"3",3,1,0.166666666666667,0.5,0.5,0.388888888888889,0.142428508385775,"(0.2,0.4]"
"20",20,1,0,0.666666666666667,0.5,0.388888888888889,0.142428508385775,"(0.2,0.4]"
"46",46,1,0.5,0.333333333333333,0.333333333333333,0.388888888888889,0.142428508385775,"(0.2,0.4]"
"31",31,1,0.166666666666667,0.333333333333333,0.666666666666667,0.388888888888889,0.142428508385775,"(0.2,0.4]"
"24",24,1,0.730296743340221,0.2,0.223606797749979,0.384634513696733,0.125909838605967,"(0.2,0.4]"
"6",6,1,0.223606797749979,0.547722557505166,0.258198889747161,0.343176081667435,-0.0350628347829191,"(0.2,0.4]"
"44",44,1,0,0.5,0.5,0.333333333333333,-0.0732797531582868,"(0.2,0.4]"
"49",49,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.0732797531582868,"(0.2,0.4]"
"59",59,1,0.5,0,0.5,0.333333333333333,-0.0732797531582868,"(0.2,0.4]"
"23",23,1,0.5,0.333333333333333,0,0.277777777777778,-0.288988014702349,"(0.2,0.4]"
"52",52,1,0,0.333333333333333,0.5,0.277777777777778,-0.288988014702349,"(0.2,0.4]"
"60",60,1,0.5,0.166666666666667,0.166666666666667,0.277777777777778,-0.288988014702349,"(0.2,0.4]"
"58",58,1,0.471404520791032,0,0.288675134594813,0.253359885128615,-0.383796555832917,"(0.2,0.4]"
"40",40,1,0.166666666666667,0.5,0,0.222222222222222,-0.504696276246411,"(0.2,0.4]"
"1",1,1,0.166666666666667,0.182574185835055,0.204124145231932,0.184454999244551,-0.651336912459898,"(0,0.2]"
"8",8,1,0.182574185835055,0.365148371670111,0,0.182574185835055,-0.658639638295218,"(0,0.2]"
"4",4,1,0,0,0.5,0.166666666666667,-0.720404537790473,"(0,0.2]"
"7",7,1,0.166666666666667,0.333333333333333,0,0.166666666666667,-0.720404537790473,"(0,0.2]"
"16",16,1,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,-0.720404537790473,"(0,0.2]"
"26",26,1,0,0.333333333333333,0.166666666666667,0.166666666666667,-0.720404537790473,"(0,0.2]"
"30",30,1,0.5,0,0,0.166666666666667,-0.720404537790473,"(0,0.2]"
"38",38,1,0,0,0.5,0.166666666666667,-0.720404537790473,"(0,0.2]"
"45",45,1,0,0.333333333333333,0.166666666666667,0.166666666666667,-0.720404537790473,"(0,0.2]"
"29",29,1,0.166666666666667,0,0.204124145231932,0.123596937299533,-0.887633473835712,"(0,0.2]"
"9",9,1,0.258198889747161,0,0,0.086066296582387,-1.03335552058286,"(0,0.2]"
"41",41,1,0.204124145231932,0,0,0.0680413817439772,-1.10334173537977,"(0,0.2]"
"32",32,1,0.182574185835055,0,0,0.0608580619450185,-1.13123276104685,"(0,0.2]"
"28",28,1,0.166666666666667,0,0,0.0555555555555556,-1.1518210608786,"(0,0.2]"
"33",33,1,0,0,0.166666666666667,0.0555555555555556,-1.1518210608786,"(0,0.2]"
"34",34,1,0,0.166666666666667,0,0.0555555555555556,-1.1518210608786,"(0,0.2]"
"2",2,1,0,0,0,0,-1.36752932242266,"(0,0.2]"
"13",13,1,0,0,0,0,-1.36752932242266,"(0,0.2]"
"15",15,1,0,0,0,0,-1.36752932242266,"(0,0.2]"
"18",18,1,0,0,0,0,-1.36752932242266,"(0,0.2]"
"57",57,1,0,0,0,0,-1.36752932242266,"(0,0.2]"
"14",14,NA,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA,NA
